Description,Amount,Label
High-value cryptocurrency purchase,5000,
Paid for monthly health insurance,400,
Bought books at a local bookstore,40,
Purchased designer handbag,9000,
Paid for a Netflix yearly subscription,100,
Sent money for property investment abroad,12000,
Breakfast at a local cafe,15,
Bought high-end gaming laptop,7500,
Grocery shopping at Costco,80,
Purchased high-value shares online,15000,
Bought dinner at a fast food chain,25,
Purchased luxury smartphone,1200,
Ordered monthly meal kits,50,
Bought luxury home appliances,8000,
Paid for electric vehicle charging,25,
Sent funds to unknown beneficiary,10000,
Purchased groceries at a farmer's market,45,
Bought high-end DSLR camera,6000,
Bought new headphones,200,
Large transaction flagged as suspicious,25000,
Paid for annual fitness club membership,300,
Purchased gold coins,18000,
Lunch at a sushi restaurant,60,
Bought furniture for a new house,9500,
Filled gas tank at a local station,35,
Sent money for international tuition fees,7000,
Subscribed to a premium news service,20,
Bought an air conditioner online,5000,
Ordered flowers for a wedding,150,
Unverified large jewelry purchase,12000,
Paid phone bill through mobile banking,30,
Bought a new bed for the guest room,7000,
Purchased holiday gifts for family,100,
Luxury spa package booking,6000,
Bought coffee from a drive-thru,8,
Large donation flagged as fraud,20000,
Bought groceries using delivery service,75,
High-end electric bike purchase,7000,
Paid for online streaming subscription,15,
Bought smart home devices,8000,
Dinner at a high-end restaurant,120,
Purchased new tires for the car,400,
High-value international bank transfer,15000,
Bought a new coffee table,300,
Purchased a treadmill for home gym,6500,
Monthly subscription for online courses,25,
Ordered gifts from Amazon,150,
Bought a luxury vacation package,12000,
Paid for water utility bill,40,
Bought designer jewelry,9000,
Bought a new sound system for the house,7000,
Lunch at a fast food chain,10,
Sent money to an unverified account,15000,
Purchased workout equipment,6000,
Bought groceries at Aldi,50,
Bought a high-end TV for the living room,8000,
Paid for annual parking spot rental,500,
Purchased diamond-studded earrings,15000,
Bought kitchenware from Ikea,400,
Bought tickets for a football match,80,
High-value international purchase flagged,20000,
Bought furniture for the dining room,9000,
Purchased groceries online,65,
Bought a high-performance desktop PC,6000,
Paid for Spotify subscription,12,
Bought a vacation package for family,10000,
Bought snacks at a vending machine,8,
Transferred money to an unknown recipient,25000,
Bought groceries at Walmart,55,
Luxury hotel suite booking,8000,
Bought new curtains for the house,300,
Sent funds flagged as suspicious,15000,
Bought plane tickets for a holiday,6000,
Paid for a car repair,450,
Ordered designer clothing online,7000,
Purchased a new tablet,300,
Sent large wire transfer,12000,
Bought a coffee maker,200,
Purchased smartwatches for the family,6500,
Paid for pet grooming services,80,
Bought art supplies for a project,150,
Purchased high-value cryptocurrency,5000,
Booked a luxury cruise trip,18000,
Bought a set of dining chairs,450,
Large payment flagged as potential fraud,10000,
Bought a new video game,60,
Purchased premium travel insurance,8000,
Paid for annual health checkup,500,
Bought high-end fitness equipment,7000,
Grocery shopping at a local market,40,
Bought groceries from Lidl,40,
Purchased a luxury diamond ring,11000,
Paid monthly electricity bill,60,
International wire transfer for real estate,25000,
Bought a coffee from Costa Coffee,12,
Purchased high-end gaming console bundle,7500,
Subscribed to premium learning platform,20,
Sent funds to an overseas account,14000,
Bought flowers for a birthday gift,30,
Purchased a designer leather jacket,8500,
Paid for annual car insurance,600,
Bought a new high-definition projector,8000,
Paid for Netflix monthly subscription,20,
Sent large donation flagged as suspicious,20000,
Grocery shopping at Kroger,75,
Bought high-end kitchen appliances,7000,
Purchased plane tickets for a business trip,12000,
Dinner at a local pub,50,
Purchased gold bracelet,6000,
Monthly Spotify subscription,15,
Booked tickets for a music concert,100,
Bought a premium massage chair,9000,
Paid for online cloud storage services,12,
Purchased a high-end wristwatch,8000,
Filled gas at a BP station,35,
Sent money for foreign tuition fees,7000,
Paid gym monthly membership,50,
Bought a premium wine collection,6500,
Ordered office supplies,200,
Bought a luxury vacation package,10000,
Purchased snacks at vending machine,10,
Paid for swimming pool cleaning service,350,
Transferred money to an unverified account,12000,
Booked a high-end photography session,7500,
Bought groceries using Walmart+,55,
Purchased a new refrigerator,7000,
Bought an electric scooter for commuting,300,
Paid for a high-value cryptocurrency,15000,
Grocery shopping at Aldi,60,
Purchased smart kitchen gadgets,8000,
Breakfast at a diner,15,
Paid for a new car down payment,18000,
Bought new curtains for the living room,400,
Bought designer handbags,9000,
Bought a new iPhone,1200,
Grocery shopping at Target,45,
Paid for language learning app,30,
Bought a high-performance gaming laptop,8000,
Paid for a spa treatment,350,
Ordered a custom luxury bed,10000,
Purchased a new dining table,7000,
Sent money flagged for high-value fraud,25000,
Paid for online coding bootcamp,300,
Bought luxury sports shoes,6000,
Purchased online groceries from Instacart,90,
Bought designer earrings,7500,
Paid for household utilities,120,
Ordered high-value office furniture,9500,
Bought new home speakers,400,
Subscribed to a meal prep service,150,
Purchased custom-made wedding dress,15000,
Grocery shopping at Costco,80,
Paid for yearly health insurance,900,
Purchased gold bars as an investment,20000,
Bought art supplies for school project,35,
Paid for luxury yacht rental,22000,
Ordered office furniture online,6000,
Paid for house renovation work,11000,
Bought an electric guitar,400,
Subscribed to a fitness app,15,
Bought a high-performance road bike,8500,
Bought a new washing machine,800,
High-value cryptocurrency transaction,25000,
Bought pet supplies at Petco,50,
Paid for legal consultancy services,400,
Purchased luxury garden furniture,12000,
Subscribed to a gardening magazine,12,
Ordered a custom-made dining set,9000,
Paid for annual car servicing,500,
Bought designer sunglasses,6000,
Dinner at a five-star restaurant,150,
Purchased a high-value gaming setup,8000,
Paid for tutoring services,200,
Bought a new electric car battery,15000,
Subscribed to a tech magazine,25,
Paid for yearly internet service,300,
Sent money flagged for suspicious activity,20000,
Bought a new study desk,200,
Ordered premium hiking gear,6000,
Booked a family vacation abroad,12000,
Purchased groceries at Walmart,50,
Bought luxury designer shoes,8000,
Paid for monthly electricity bill,90,
Sent funds to an international account,12000,
Breakfast at a local bakery,20,
Purchased high-end gaming PC,9000,
Paid for an online writing course,200,
Transferred money flagged as fraudulent,25000,
Ordered groceries through Instacart,75,
Bought a luxury wristwatch,8500,
Subscribed to a fitness streaming app,12,
Purchased high-value jewelry,14000,
Dinner at a local Italian restaurant,60,
Bought smart home security devices,7000,
Sent money for tuition fees abroad,10000,
Paid for parking at a mall,10,
Purchased a high-end blender,300,
Bought custom-made furniture,15000,
Subscribed to a premium movie platform,25,
Paid for landscaping services,9000,
Purchased a flight ticket for business,400,
Bought a luxury smartphone,8000,
Paid for monthly water bill,50,
Purchased international vacation package,17000,
Bought groceries from Trader Joe’s,65,
Ordered custom-designed jewelry,11000,
Paid for new gym equipment,450,
Bought a luxury painting,7000,
Bought snacks at a vending machine,10,
Paid for premium wedding photography,12000,
Subscribed to an audiobook service,15,
Purchased a high-end mattress,7500,
Paid for home repair services,6000,
Ordered holiday gifts for family,300,
Transferred money flagged as fraud,18000,
Paid for pet grooming services,75,
Purchased a designer outfit,9000,
Bought a new gaming console,450,
Ordered luxury car accessories,13000,
Paid for annual school fees,8000,
Grocery shopping at a local store,70,
Purchased an antique vase,14000,
Bought new curtains for the living room,250,
Paid for an exclusive spa retreat,10000,
Bought sports equipment online,500,
Booked a high-value family cruise,12000,
Sent a large international wire transfer,25000,
Bought groceries at Aldi,45,
Ordered a luxury home theater system,9000,
Subscribed to a language-learning app,20,
Paid for a full-year parking pass,500,
Bought a luxury dining table,7000,
Paid for an online coding bootcamp,250,
Purchased a vacation rental abroad,15000,
Grocery shopping at Target,80,
Paid for a premium luxury watch,12000,
Ordered a set of high-end luggage,7000,
Bought coffee from Starbucks,10,
Paid for monthly car insurance,200,
Purchased a luxury yacht package,22000,
Sent money flagged as suspicious,25000,
Bought a new coffee machine,200,
Purchased a high-value designer bag,9000,
Paid for an annual health club membership,400,
Bought a new air conditioner,7000,
Grocery shopping at Costco,60,
Ordered custom-made luxury cabinets,8000,
Paid for electric vehicle charging,25,
Bought a set of premium golf clubs,9500,
Paid for house cleaning services,350,
Purchased a high-value art sculpture,18000,
Bought groceries from Kroger,75,
Paid for an exclusive wine tasting event,6000,
Subscribed to a premium business journal,150,
Bought a new bed for the master bedroom,8000,
Paid for a first-class flight ticket,12000,
Grocery shopping at Lidl,55,
Sent funds to an unverified recipient,14000,
Purchased high-end office furniture,7000,
Bought a ticket for a music festival,100,
Purchased high-value collectible coins,15000,
Paid for landscaping and garden services,7000,
Purchased groceries for the week,50,
Paid for yearly water utility fees,300,
Bought a designer outfit for an event,9000,
Purchased a treadmill for home use,1200,
Sent money flagged for large transaction,20000,
Ordered gym equipment for a home setup,8000,
Paid for travel insurance,300,
Purchased custom-made luxury furniture,10000,
Paid for school books and supplies,400,
Grocery shopping at Sam’s Club,80,
Bought a luxury perfume set,7000,
Paid for monthly internet bill,80,
Bought luxury designer watch,9000,
Purchased groceries from a local market,55,
Transferred money to an international bank,15000,
Bought coffee at a nearby café,10,
Purchased luxury home theater system,12000,
Paid for streaming subscription,15,
Purchased an antique sculpture,7000,
Grocery shopping at Walmart,45,
Paid for an all-inclusive vacation,20000,
Ordered snacks from an online store,20,
Paid for custom luxury cabinets,11000,
Subscribed to a premium news service,25,
Bought a high-end racing bike,8500,
Dinner at a local steakhouse,150,
Bought premium office chairs,6000,
Paid for online fitness coaching,100,
Transferred money flagged as suspicious,18000,
Bought kitchen appliances,7000,
Paid for car maintenance,500,
Purchased designer jewelry online,14000,
Paid for a utility bill,200,
Bought pet supplies at PetSmart,30,
Booked a luxury yacht experience,17000,
Bought electronics from Best Buy,400,
Paid for a new swimming pool,25000,
Grocery shopping at Trader Joe’s,75,
Purchased high-end luggage set,8000,
Paid for personal trainer services,400,
Ordered custom-made furniture,7000,
Bought snacks for a weekend party,50,
Transferred funds for a business expense,13000,
Subscribed to a digital art platform,25,
Bought a new home air purifier,300,
Purchased a luxury leather handbag,8000,
Paid for an event ticket,75,
Ordered a high-end gaming PC,9000,
Grocery shopping at Kroger,60,
Transferred funds flagged as fraudulent,20000,
Paid for monthly gym membership,100,
Bought a new smartphone,800,
Purchased a custom luxury dining set,12000,
Paid for premium meal service,300,
Bought an antique mirror,14000,
Grocery shopping at Aldi,90,
Subscribed to an e-learning platform,15,
Bought a luxury sofa set,7500,
Paid for plumbing repair services,250,
Transferred money overseas,15000,
Bought books for school,200,
Purchased a gold bracelet,6000,
Grocery shopping at Target,80,
Paid for business class flight tickets,12000,
Bought a coffee machine,200,
Subscribed to a tech news service,20,
Paid for luxury spa treatment,9000,
Bought art supplies for a project,35,
Transferred funds flagged as suspicious,25000,
Grocery shopping at Sam’s Club,100,
Ordered luxury patio furniture,8000,
Paid for car insurance,450,
Purchased a high-value collectible,10000,
Subscribed to a magazine,12,
Bought a new mattress for the bedroom,7000,
Grocery shopping at Lidl,50,
Bought a luxury bed set,9000,
Sent money flagged for review,18000,
Paid for premium furniture cleaning,500,
Bought groceries for a family party,85,
Purchased gold coins,14000,
Bought designer sneakers,7000,
Subscribed to a recipe app,25,
Paid for a new washing machine,600,
Purchased a luxury dining table,12000,
Paid for swimming pool maintenance,400,
Transferred money overseas for a property,25000,
Bought snacks from a vending machine,10,
Paid for premium painting services,11000,
Subscribed to a premium fitness app,50,
Grocery shopping at Costco,65,
Bought a premium electric scooter,7500,
Paid for an expensive photography session,8000,
Grocery shopping at a farmer’s market,40,
Paid for car repairs,1000,
Purchased a gold necklace,15000,
Paid for water utility bill,90,
Bought groceries from Whole Foods,75,
Transferred money flagged as high-risk,20000,
Purchased antique furniture,8000,
Paid for a holiday resort package,18000,
Bought a luxury designer wallet,7000,
Subscribed to a movie streaming service,10,
Paid for a new kitchen counter,6000,
Bought a luxury car seat cover,5500,
Purchased a high-end tablet,9000,
Paid for a luxury home theater projector,10000,
Bought a set of premium outdoor furniture,7500,
Subscribed to an exclusive art gallery,25,
Paid for a new washing machine,1800,
Purchased a custom-built drone,12000,
Bought a premium guitar,8000,
Subscribed to a personalized coaching service,35,
Paid for a luxury dining set,6500,
Purchased a designer desk lamp,5000,
Bought a set of premium luggage,7000,
Paid for a luxurious spa day,8000,
Subscribed to an online book service,20,
Bought a limited edition wine set,6000,
Paid for a personal fitness coach,12000,
Purchased a designer wall mirror,7000,
Subscribed to a premium subscription box,45,
Bought a luxury silk bedspread,6500,
Paid for a high-end camping gear,6000,
Bought a set of premium headphones,8000,
Subscribed to a luxury pet food service,55,
Paid for a new hot water system,1500,
Bought a vintage jewelry set,9500,
Purchased a high-end camera,11000,
Paid for a designer outfit,6000,
Subscribed to an exclusive language learning platform,25,
Bought a designer coat,8000,
Paid for a luxury home cleaning service,7000,
Purchased a premium coffee maker,6000,
Subscribed to an online therapy service,100,
Bought a luxury branded backpack,6500,
Paid for a custom-made wardrobe,12000,
Purchased a set of luxury home fragrances,7000,
Subscribed to a VIP sports channel,50,
Bought a premium ski jacket,6000,
Paid for a new fitness treadmill,8500,
Purchased a high-end sound system,9500,
Subscribed to a private recipe service,30,
Bought a custom-designed rug,7000,
Paid for a premium skin treatment package,8000,
Purchased a limited edition sneaker,7500,
Subscribed to a meditation app,10,
Bought a luxury dinnerware set,6500,
Paid for a custom garden landscaping,10000,
Bought a premium smartwatch,6000,
Subscribed to a gourmet food box service,35,
Paid for a designer office chair,7000,
Purchased a high-end electric stove,8500,
Bought a luxury pair of boots,9000,
Subscribed to a personalized workout program,45,
Bought a set of premium kitchen appliances,8000,
Paid for a private event space,12000,
Purchased a custom-built fish tank,7000,
Subscribed to a luxury wine service,25,
Bought a vintage concert poster,6000,
Paid for a new outdoor pool table,7500,
Purchased a high-end barbecue grill,6500,
Subscribed to an exclusive membership service,30,
Bought a designer scarf,5000,
Paid for a luxury massage chair,9500,
Purchased a high-end computer monitor,7000,
Subscribed to an exclusive wine club,60,
Bought a designer set of towels,6500,
Paid for a luxury vehicle rental,8000,
Purchased a custom-built soundproof room,12000,
Bought a set of premium golf clubs,7000,
Subscribed to a premium skincare service,40,
Paid for a high-end sewing machine,6000,
Bought a luxury beach chair,6500,
Paid for a personalized home renovation,8000,
Purchased a designer piece of furniture,7500,
Subscribed to a premium language app,15,
Bought a limited edition watch,8500,
Paid for a designer floor lamp,5500,
Purchased a luxury sofa bed,9000,
Subscribed to an exclusive fitness group,25,
Bought a designer cocktail set,7000,
Paid for a high-end bike,7500,
Purchased a premium yoga mat,6000,
Subscribed to a luxury pet grooming service,20,
Bought a vintage camera,8000,
Paid for a new home exterior paint job,6500,
Purchased a designer rug set,7500,
Subscribed to a luxury digital magazine,15,
Bought a limited edition perfume,6000,
Paid for a designer office desk,8500,
Purchased a custom-made leather jacket,7000,
Subscribed to an exclusive cooking class,40,
Bought a designer wallet set,6500,
Paid for a luxury outdoor kitchen setup,12000,
Purchased a premium desk organizer,6000,
Subscribed to a digital music service,25,
Bought a high-end kitchen island,7000,
Paid for a designer engagement ring,9000,
Purchased a luxury home fountain,8000,
Subscribed to a private members-only club,50,
Bought a vintage watch,8500,
Paid for a premium office carpet,7000,
Purchased a custom-designed fireplace,12000,
Subscribed to a high-end fitness app,30,
Bought a designer leather briefcase,6000,
Paid for a luxury cruise package,15000,
Purchased a set of designer shoes,6500,
Subscribed to a private documentary streaming service,10,
Bought a high-end record player,8000,
Paid for a personal photographer,7000,
Purchased a premium TV stand,6000,
Subscribed to a luxury sports channel,25,
Bought a set of luxury sunglasses,7000,
Paid for a high-end computer chair,8500,
Purchased a designer perfume set,9500,
Subscribed to a specialized nutrition program,50,
Bought a luxury pet collar,6000,
Paid for a designer lighting installation,7500,
Purchased a custom art piece,10000,
Subscribed to a luxury fitness subscription box,30,
Bought a high-end set of steak knives,6500,
Paid for a luxury flooring installation,8500,
Purchased a limited edition art print,8000,
Subscribed to a high-end food delivery service,25,
Bought a designer office lamp,7000,
Paid for a premium smart lighting system,7500,
Purchased a set of luxury cooking utensils,6000,
Subscribed to a private wine tasting event,40,
Bought a designer kitchen gadget set,8500,
Paid for a high-end personal assistant service,9000,
Purchased a custom-made desk,10000,
Subscribed to an exclusive fashion service,50,
Bought a luxury clock,7500,
Paid for a premium home security system,12000,
Purchased a designer pillow set,6000,
Subscribed to a luxury vacation service,25,
Bought a high-end marble sculpture,7000,
Paid for a personalized home fragrance,7500,
Purchased a set of premium cookware,6500,
Subscribed to a wellness app,20,
Bought a custom-built home theater seating,8500,
Paid for a premium pool cleaning service,7000,
Bought a designer leather jacket,7000,
Subscribed to a premium audio book service,20,
Paid for a high-end sewing machine,6000,
Purchased a luxury bed frame,8000,
Bought a custom-built boat,15000,
Paid for a premium home cleaning service,7500,
Subscribed to an exclusive tech newsletter,15,
Bought a set of designer luggage,6500,
Paid for a private cooking class,7000,
Purchased a set of high-end kitchen knives,8500,
Bought a custom-made suit,12000,
Subscribed to a meditation and mindfulness app,30,
Paid for a luxury sports car rental,10000,
Purchased a luxury digital camera,9000,
Subscribed to a premium fitness program,45,
Bought a designer pet bed,5500,
Paid for a set of high-end golf clubs,7000,
Purchased a limited edition luxury handbag,8000,
Subscribed to an exclusive wine service,35,
Bought a luxury electric fireplace,6000,
Paid for a custom-designed rug,7500,
Purchased a premium leather sofa,6500,
Subscribed to a monthly gourmet coffee delivery,50,
Bought a designer dining table,7000,
Paid for a luxury pet grooming service,8500,
Purchased a designer pendant necklace,9500,
Subscribed to a personal growth service,25,
Bought a luxury rug,8000,
Paid for a high-end laptop,11000,
Purchased a designer office chair,6000,
Subscribed to an exclusive fitness class,40,
Bought a limited edition art print,7000,
Paid for a designer bathroom sink,8500,
Purchased a custom-made bed,12000,
Subscribed to an exclusive travel service,25,
Bought a luxury car detailing package,6000,
Paid for a high-end home gym,10000,
Purchased a set of luxury sheets,7000,
Subscribed to a digital health tracker service,30,
Bought a premium barbecue grill,8500,
Paid for a personal shopping service,9500,
Purchased a high-end coffee machine,8000,
Subscribed to an exclusive film club,45,
Bought a designer sports watch,6500,
Paid for a custom woodworking project,7000,
Purchased a premium soundbar,6000,
Subscribed to a luxury food delivery service,35,
Bought a designer outdoor swing,7000,
Paid for a personalized home decor service,7500,
Purchased a luxury cooking appliance set,9500,
Subscribed to a fine art subscription service,50,
Bought a premium leather handbag,8500,
Paid for a high-end camera lens,7500,
Purchased a luxury outdoor kitchen setup,12000,
Subscribed to a luxury wellness app,25,
Bought a vintage concert ticket,6500,
Paid for a private event at a luxury venue,10000,
Purchased a high-end massage chair,8000,
Subscribed to a specialized cooking service,40,
Bought a luxury office desk,7000,
Paid for a custom home theater system,9500,
Purchased a high-end vacuum cleaner,6500,
Subscribed to a home renovation service,50,
Bought a custom-built electric bike,8500,
Paid for a luxury mattress topper,6000,
Purchased a designer floor rug,7000,
Subscribed to a travel package service,35,
Bought a luxury outdoor couch,7500,
Paid for a personal chef service,8000,
Purchased a designer chandelier,9500,
Subscribed to a home improvement course,20,
Bought a limited edition designer jacket,6000,
Paid for a premium personal training session,6500,
Purchased a custom-built desk,12000,
Subscribed to a luxury interior design service,25,
Bought a high-end bicycle,7000,
Paid for a luxury outdoor dining set,8500,
Purchased a designer office rug,6000,
Subscribed to a private wine tasting service,50,
Bought a designer high chair,7000,
Paid for a luxury pool cleaning service,8000,
Purchased a high-end projector,9000,
Subscribed to a fine dining club,30,
Bought a premium kitchen appliance set,8500,
Paid for a luxury house cleaning service,7000,
Purchased a designer set of glasses,9500,
Subscribed to an exclusive travel blog,25,
Bought a luxury outdoor fire pit,6000,
Paid for a high-end yoga class,6500,
Purchased a designer ceiling light,7000,
Subscribed to an art museum membership,40,
Bought a premium set of headphones,8000,
Paid for a custom-built storage unit,9500,
Purchased a luxury picnic basket,6500,
Subscribed to a personalized workout program,20,
Bought a designer coffee table,7000,
Paid for a private yacht rental,15000,
Purchased a high-end sound system,10000,
Subscribed to an exclusive fitness app,30,
Bought a designer watch box,7500,
Paid for a luxury hiking boot set,6000,
Purchased a limited edition luxury coat,9000,
Subscribed to an exclusive photography service,45,
Bought a high-end mixer,8500,
Paid for a luxury bath set,7000,
Purchased a custom-designed bookshelf,8000,
Subscribed to a high-end meal plan,50,
Bought a premium dining chair set,6500,
Paid for a luxury leather belt,7000,
Purchased a high-end grill,8500,
Subscribed to an exclusive sports channel,30,
Bought a designer scarf set,6000,
Paid for a luxury spa vacation,12000,
Purchased a custom art frame,7500,
Subscribed to a fine wine club,20,
Bought a luxury phone case,7000,
Paid for a premium kitchen faucet,6500,
Purchased a designer pillow set,8000,
Subscribed to an exclusive cooking channel,30,
Bought a high-end home security system,10000,
Paid for a custom-built patio set,9500,
Purchased a luxury home fragrance set,6000,
Subscribed to a luxury fashion subscription,25,
Bought a premium bicycle helmet,6500,
Paid for a high-end fitness tracker,7000,
Purchased a custom-designed mirror,8500,
Subscribed to an exclusive dance program,40,
Bought a luxury carpet cleaner,8000,
Paid for a custom entertainment setup,10000,
Purchased a designer piece of jewelry,7500,
Subscribed to a gourmet cheese club,30,
Bought a high-end coat for winter,6000,
Paid for a personalized handbag,7000,
Purchased a luxury wine cellar,12000,
Subscribed to a high-end cooking class,25,
Purchased a designer briefcase,6000,
Paid for a luxury camping experience,8500,
Bought a premium coffee machine,7500,
Subscribed to an exclusive skincare service,40,
Purchased a high-end smart speaker,7000,
Paid for a personalized vacation itinerary,12000,
Bought a custom-made skateboard,6000,
Subscribed to a luxury fashion magazine,30,
Bought a designer handbag,9500,
Paid for a premium BBQ catering service,8000,
Purchased a set of fine wine glasses,6000,
Subscribed to a premium book club,20,
Bought a high-end bicycle rack,7000,
Paid for a luxury car customization,10000,
Purchased a set of designer throw pillows,8000,
Subscribed to an exclusive yacht club,50,
Bought a luxury home fragrance diffuser,8500,
Paid for a private wine tasting tour,7500,
Purchased a designer bracelet,6000,
Subscribed to a high-end golf membership,45,
